BDRC Resource ID,Gender,DOB,DOD,Traditions,Wiki-ID Traditions,Role1,Role2,Role3,Role4,Role5,Role6,Role7,Role8,label_bo,label_zh-hans,label_en,Alias_bo_1,Alias_bo_2,Alias_bo_3,Alias_bo_4,Alias_bo_5,Alias_bo_6,Alias_bo_7,Alias_bo_8,Alias_bo_9,Alias_bo_10,Alias_bo_11,Alias_bo_12,Alias_bo_13,Alias_bo_14,Alias_bo_15,Alias_bo_16,Alias_bo_17,Alias_zh_1,Alias_zh_2,Alias_en_1,Alias_en_2,Alias_en_3,Alias_en_4
P2KG228822,,,,,,compiler,,,,,,,,སྐལ་བཟང་དབང་ཕྱུག,,kalsang wangchuk,,,,,,,,,,,,,,,,,,,,,,,
P2LS302,,,,,,,,,,,,,,འཇིགས་མེད་ཚེ་དབང་།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS12633,,,,,,,,,,,,,,ངག་དབང་བསྟན་འཛིན་རྣམ་རྒྱལ།,,,དགའ་ལྡན་གླིང་སྤྲུལ་སྐུ ༠༣,,,,,,,,,,,,,,,,,,,,,,
P4CZ366927,,,,,,main author,,,,,,,,པདྨ་ནོར་བུ།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS12963,,,,,,,,,,,,,,བློ་བཟང་འཕྲིན་ལས་རྒྱལ་མཚན།,,,བཀྲ་ཤིས་ལྗོངས་སྤྲུལ་སྐུ ༠༦,,,,,,,,,,,,,,,,,,,,,,
P1KG1095,Male,,,,,main author,,,,,,,,ཀརྨ་ཚུལ་ཁྲིམས།,,,ཀརྨ་འཕྲིན་ལས།,ཀརྨ་རིམ་གྲོ།,,,,,,,,,,,,,,,,,,,,,
P8LS12507,,,,,,,,,,,,,,མདོ་སྔགས་བསྟན་འཛིན།,,,སྤང་ལབ་སྤྲུལ་སྐུ ༠༢,,,,,,,,,,,,,,,,,,,,,,
P8LS12518,,,,,,,,,,,,,,དགེ་ལེགས་ཐུབ་བསྟན།,,,བྲག་རི་སྤྲུལ་སྐུ ༠༢,,,,,,,,,,,,,,,,,,,,,,
P8LS12455,,,,,,,,,,,,,,ངག་དབང་བསྟན་འཛིན་གྲགས་པ།,,,རི་ཁྲོད་ཤིང་རྩ་བླ་མ ༠༢,,,,,,,,,,,,,,,,,,,,,,
P8LS75342,,,,,,main author,,,,,,,,ཚུལ་ཁྲིམས་ནོར་བུ།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS13426,,,,,,,,,,,,,,མགོ་ཚང་དགེ་སློང་།,,,མགོ་ཚང་དགེ་སློང ༠༢,,,,,,,,,,,,,,,,,,,,,,
P8LS13012,,,,,,,,,,,,,,ངག་དབང་དོན་ལྡན།,,,བདེ་ཆེན་གསང་སྔགས་མཁར་པ་སྤྲུལ་སྐུ ༠༢,,,,,,,,,,,,,,,,,,,,,,
P2KG228854,,,,,,main author,,,,,,,,འཕྲིན་ལས་རྒྱལ་མཚན།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS12536,,,,,,,,,,,,,,འཇམ་དབྱངས་རིན་ཆེན།,,,བོན་པོ་ལུང་བླ་མ ༠༡,,,,,,,,,,,,,,,,,,,,,,
P8LS15433,,,,,,,,,,,,,,འཇམ་དཔལ་བཤེས་གཉེན།,,,འཇམ་དཔལ་བཤེས་གཉེན་ཕྱི་མ།,,,,,,,,,,,,,,,,,,,,,,
P8LS15078,,,,,,,,,,,,,,ཡེ་ཤེས་ཟླ་བ།,,,ཇཉནསོམ།,,,,,,,,,,,,,,,,,,,,,,
P2LS204,,,,,,,,,,,,,,འཇམ་དབྱངས་བསྟན་འཛིན།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS12923,,,,,,,,,,,,,,བསྟན་འཛིན་ངག་དབང་དཔལ་བཟང་།,,,དགའ་ལྡན་རི་ཁྲོད་སྤྲུལ་སྐུ ༠༣,,,,,,,,,,,,,,,,,,,,,,
P2JM396,,,,,,,,,,,,,,མཁན་པོ་ཆོས་རྣམ།,,,མཁས་བཙུན་དབང་པོ་མཁན་པོ་ཆོས་རྣམ།,,,,,,,,,,,,,,,,,,,,,,
P8LS75295,,,,,,main author,compiler,,,,,,,རྡོ་རྗེ་བྱམས།,,,,,,,,,,,,,,,,,,,,,,,,,
P11MS230,,1888,1919,,,,,,,,,,,གྲགས་པ་བློ་གྲོས།,,,,,,,,,,,,,,,,,,,,,,,,,
P3CN26281,,,,,,main author,,,,,,,,པདྨ་ཚེ་རིང་།,,,པདྨ་དམར་པོ།,,,,,,,,,,,,,,,,,,,,,,
P1KG17636,,,,,,main author,,,,,,,,འཇམ་དབྱངས་ཀུན་དགའ,,,,,,,,,,,,,,,,,,,,,,,,,
P1CZ2272,,,,,,translator,main author,,,,,,,པདྨ་ཚེ་དབང་།,,,པདྨ་ཚེ་དབང་སསྟྲི།,,,,,,,,,,,,,,,,,,,,,,
P00EGS1017968,,,,,,main author,,,,,,,,དཀོན་མཆོག,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS12284,,,,Sakya,Q650035,main author,,,,,,,,རྫོང་ཆུང་འཇིགས་མེད་བསྟན་པའི་རྒྱལ་མཚན།,,,རོང་པོ་དགོན་ཆེན་གདན་རབས ༥༡,འཇིགས་མེད་བསྟན་པའི་རྒྱལ་མཚན།,,,,,,,,,,,,,,,,,,,,,
P8LS15721,,,,,,,,,,,,,,ཕུན་ཚོགས་རྒྱ་མཚོ།,,,,,,,,,,,,,,,,,,,,,,,,,
P1PD181204,,,,,,main author,,,,,,,,པདྨ་བསྟན་འཕེལ།,,,གཏེར་སྟོན་པདྨ་བསྟན་འཕེལ།,གཡག་ཟེའི་གཏེར་སྟོན་པདྨ་བསྟན་འཕེལ།,མཁའ་འགྲོ་གླིང་པ།,,,,,,,,,,,,,,,,,,,,
P8LS75223,,,,,,compiler,,,,,,,,བློ་བཟང་དམ་ཆོས།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS12100,,,,Geluk,Q319218,,,,,,,,,ཤེས་རབ་ལྷུན་གྲུབ།,,,པཱ་གྲུ་ཤེས་རབ་ལྷུན་གྲུབ།,སྐུ་འབུམ་རྒྱུད་པ་ཁྲི ༢༥,,,,,,,,,,,,,,,,,,,,,
P8LS12456,,,,,,,,,,,,,,ཕུན་ཚོགས་གྲགས་པ།,,,རི་ཁྲོད་ཤིང་རྩ་བླ་མ ༠༣,,,,,,,,,,,,,,,,,,,,,,
P1KG16272,,,,,,main author,,,,,,,,དཀོན་མཆོག་དར་རྒྱས།,,,,,,,,,,,,,,,,,,,,,,,,,
P00KG09735,Male,,,,,main author,,,,,,,,ཀརྨ་ཕྲིན་ལས།,,,དབང་ཆེན།,བླ་མ་དབང་ཆེན།,,,,,,,,,,,,,,,,,,,,,
P1KG26282,,,,,,main author,,,,,,,,བསྟན་པ་བཟོད་པ།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS75564,,,,,,compiler,,,,,,,,བསྟན་འཛིན་འཇམ་དཔལ།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS15014,,,,,,,,,,,,,,དཀོན་མཆོག་ལྷུན་གྲུབ།,,,བྱ་བཏང་དཀོན་མཆོག་ལྷུན་གྲུབ།,,,,,,,,,,,,,,,,,,,,,,
